model,resolution,timestamp,best_val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,profile_avg_time_sec,profile_std_time_sec,profile_min_time_sec,profile_max_time_sec,profile_throughput_samples_sec,profile_peak_cpu_memory_mb,profile_gpu_memory_allocated_mb,profile_gpu_memory_reserved_mb,profile_gpu_memory_peak_mb
simple_cnn,224,2026-02-01T16:12:06.489139,inf,0.6127334306421487,0.7725157404872708,0.8101567751779589,0.639289746210405,0.6888846135177318,0.04005949798583984,0.058303430567489746,0.027734560012817384,0.32567080688476563,798.8118076594795,822.931456,47.38671875,492.0,457.76171875
simple_cnn,256,2026-02-01T17:29:45.346212,inf,0.5448642008978387,0.8119353955652888,0.8423194874038747,0.6896350565420937,0.7276168747520682,0.04776226165771484,0.05220640903270732,0.03593107223510742,0.3034539794921875,669.9850235176451,542.830592,47.48046875,616.0,583.48046875
simple_cnn,320,2026-02-01T19:13:49.710513,inf,0.5179370683820351,0.8168628524500411,0.8433416057188268,0.6914209248918205,0.7341981841139992,0.06736996948242188,0.05290794750270803,0.0560714225769043,0.32654556274414065,474.98908261119834,1118.420992,47.16943359375,918.0,885.16943359375
simple_cnn,384,2026-02-02T00:11:07.436950,inf,0.8316010051123474,0.6972351491924446,0.7029158312119989,0.5157109792413591,0.5508601244451182,0.09445392211914064,0.06605044675017391,0.07987395477294922,0.418009521484375,338.78953125563595,869.822464,47.85693359375,1342.0,1253.85693359375
simple_cnn,512,2026-02-03T00:31:54.140223,inf,0.7394275349443373,0.7265261428962496,0.7853486618648801,0.5385629270211839,0.5767176974448157,0.14780617309570313,0.027299233539711486,0.1409434814453125,0.28149542236328123,216.49975322262281,1164.279808,48.2333984375,2220.0,2192.2333984375
tiny_cnn,224,2026-02-03T05:36:05.560777,inf,0.9043970603333867,0.6717766219545579,0.6571079709810069,0.45574066819491993,0.4987962902633386,0.023594466857910158,0.05597783107052427,0.011974592208862305,0.2978272705078125,1356.250183261583,527.388672,18.36962890625,240.0,232.74462890625
tiny_cnn,256,2026-02-03T06:40:00.967106,inf,0.8310903705332591,0.6780728168628525,0.728467844510283,0.47365571406319246,0.49812475473883194,0.025392434959411618,0.04701710493381306,0.015544384002685548,0.25572569274902346,1260.2178582381014,699.117568,18.41650390625,304.0,298.41650390625
tiny_cnn,320,2026-02-03T07:51:26.927101,inf,0.8933601058047751,0.6613742129756365,0.5797307613620192,0.4418120467943113,0.45705661383785856,0.035684943695068354,0.05526079171400789,0.024156095504760743,0.3064029541015625,896.7367378646695,1256.419328,18.51171875,462.0,456.51171875
tiny_cnn,384,2026-02-03T11:01:52.695002,inf,0.9400785003019416,0.6534355324390911,0.6983827433530952,0.44002677953663294,0.4787664249154155,0.044132614593505856,0.044168340571604264,0.03465532684326172,0.2605064697265625,725.0873372163367,1225.58464,18.60546875,674.0,648.60546875
tiny_cnn,512,2026-02-03T13:10:55.973939,inf,0.934033864736557,0.647960580344922,0.5928710595571888,0.4395979059147361,0.45821957975946565,0.06785354995727538,0.026769703173186752,0.061914207458496094,0.19898876953125,471.60391785174244,1250.811904,18.79443359375,1162.0,1138.79443359375
