model,resolution,total_params,trainable_params,gflops,memory_mb,mult_adds
vgg11,224,129684064,129684064,15.226692032,552.0001907348633,7613346016
vgg11,256,129815168,129815168,19.81443328,570.0200881958008,9907216640
vgg11,320,130077376,130077376,30.824907392,613.0676956176758,15412453696
vgg11,384,130339584,130339584,44.282036992,665.4590530395508,22141018496
vgg11,512,130864000,130864000,78.536262656,798.2730178833008,39268131328
vgg13,224,129868576,129868576,22.63507808,589.4540481567383,11317539040
vgg13,256,129999680,129999680,29.490692608,618.7239456176758,14745346304
vgg13,320,130261888,130261888,45.944062592,688.7715530395508,22972031296
vgg13,384,130524096,130524096,66.05362048,774.1629104614258,33026810240
vgg13,512,131048512,131048512,117.241299968,990.9768753051758,58620649984
resnet18,224,11291424,11291424,3.627371712,81.54779815673828,1813685856
resnet18,256,11307840,11307840,4.737748224,93.38800811767578,2368874112
resnet18,320,11340672,11340672,7.40263872,121.77936553955078,3701319360
resnet18,384,11373504,11373504,10.659712512,156.45197296142578,5329856256
resnet18,512,11439168,11439168,18.950409984,244.64093780517578,9475204992
resnet34,224,21399584,21399584,7.326762688,139.24799346923828,3663381344
resnet34,256,21416000,21416000,9.56960128,156.94757843017578,4784800640
resnet34,320,21448832,21448832,14.952400768,199.40143585205078,7476200384
resnet34,384,21481664,21481664,21.531363328,251.26154327392578,10765681664
resnet34,512,21547328,21547328,38.277777664,383.2005081176758,19138888832
mobilenet_v2_small,224,971392,971392,0.176170112,55.71002960205078,88085056
mobilenet_v2_small,256,1012384,1012384,0.229994816,71.78583526611328,114997408
mobilenet_v2_small,320,1094368,1094368,0.359141312,110.30512237548828,179570656
mobilenet_v2_small,384,1176352,1176352,0.516950592,157.31464385986328,258475296
mobilenet_v2_small,512,1340320,1340320,0.918557504,276.8043899536133,459278752
simple_cnn,224,2675936,2675936,1.484566336,56.72724151611328,742283168
simple_cnn,256,2684160,2684160,1.937641344,70.99713897705078,968820672
simple_cnn,320,2700608,2700608,3.025014784,105.23224639892578,1512507392
simple_cnn,384,2717056,2717056,4.354019456,147.06110382080078,2177009728
simple_cnn,512,2749952,2749952,7.736922496,253.50006866455078,3868461248
tiny_cnn,224,183904,183904,0.277693568,22.71601104736328,138846784
tiny_cnn,256,188032,188032,0.362611904,29.47028350830078,181305952
tiny_cnn,320,196288,196288,0.566412608,45.67414093017578,283206304
tiny_cnn,384,204544,204544,0.815498688,65.47174835205078,407749344
tiny_cnn,512,221056,221056,1.449526976,115.84821319580078,724763488
